source_node_ID,destination_node_ID
84729190,11168091267
84729190,4249725619
84729190,4249725586
84729190,8041383909
84729190,4249725592
84729190,4249725618
84729194,582417508
84729194,582417523
84729194,8041383925
84733260,5594000945
84733260,2977586315
84733260,3812881236
84743127,8069713341
84743127,8032264732
84743127,8070000290
84743127,2978094667
84747907,3903818015
84747907,84873639
84747907,4269007217
84747916,4269007167
84747916,4269007200
84747916,8034263513
84747972,8076535123
84747972,8076535123
84747972,2654104540
84747993,2654104441
84748032,4072026787
84748054,8075343343
84748054,4072026787
84748054,2654104473
84748055,4072028105
84748055,84942176
84748055,10058837288
84752961,84770926
84752961,1329906248
84752961,2838529029
84752964,3980487887
84766707,3903817996
84766707,7120569005
84766707,2654220177
84766711,4072028361
84766711,4072028389
84766711,4072028498
84770926,84752961
84770926,2838529130
84770926,2838529097
84770926,8008265993
84770938,1637869362
84770938,1637869362
84770938,2838529131
84774419,4072028509
84774419,4072028529
84774419,4072028496
84774433,4072028529
84774443,7929865179
84774443,7120569006
84774443,7120569019
84774760,8090258399
84774760,4214257824
84774760,4272412312
84774804,84774807
84774804,84774819
84774804,84774818
84774807,8076529337
84774807,84774804
84774807,2654104483
84774808,8076529337
84774808,8076529332
84774808,84774822
84774814,84774816
84774816,10300738945
84774816,84774818
84774816,84774814
84774818,84774816
84774818,2654104483
84774818,84774804
84774819,2654104540
84774819,84774804
84774819,84774822
84774822,84774819
84774822,84774808
84774822,8076529361
84790845,7984653282
84796203,9826632624
84796203,4431579530
84796203,8025639518
84796203,7996007937
84796208,4338492043
84796355,8025626368
84796384,3980487862
84796384,84796442
84796384,11282532378
84796442,3980487857
84796442,84796384
84796442,11167948533
84796460,3881267850
84796460,2816326653
84796460,2816326648
84806022,2837747211
84806051,3980487866
84806051,8027237856
84806051,1637881773
84806052,3980487866
84811004,2654104502
84811004,2654220757
84811004,2654220757
84811021,8075343481
84814772,8026935077
84814772,1637881796
84814772,1637881782
84828159,12437691527
84828159,8079687798
84828159,10082306522
84828161,1639426115
84828161,8067594613
84828161,10082306524
84833934,8004712615
84833934,8002999656
84833934,5594000935
84833936,5594000945
84836633,4272413041
84836664,4432821189
84837892,4255604482
84837892,7046174278
84837892,2654220406
84837892,4255604522
84837894,6126833949
84837894,3980803779
84837894,2654220664
84853931,2969146787
84853931,8032264732
84853931,3428959188
84863802,3881267933
84863802,8001888923
84863802,84869123
84863807,4272412980
84863807,3881267937
84863807,1637869408
84863807,4272412974
84863993,4259619412
84863993,4259619351
84863993,4259619403
84864004,9242151165
84869123,8001888958
84869123,84863802
84869123,4272412945
84869123,84873633
84869333,4249725098
84869333,84909934
84869333,4249724876
84869344,1636758201
84869344,4259619483
84869344,4249725098
84873627,4272413075
84873627,8001888962
84873627,8001888913
84873633,3903818031
84873633,4269007226
84873633,84869123
84873639,4269007226
84873639,84747907
84873639,4270697189
84877024,4713792687
84877024,2816531112
84877024,1280386256
84877024,4593699432
84877026,2816531112
84877026,4713794602
84877026,84921146
84882467,1637869456
84909934,84869333
84909934,4249725110
84909934,4249725115
84909934,1636758221
84909959,4313709810
84909959,4313709812
84909959,4313709823
84913037,84913038
84913037,8061229187
84913037,8061229202
84913038,8070000288
84913038,2977968397
84913038,84913037
84913050,8070000292
84913050,84913051
84913050,84913051
84913051,8070005032
84913051,84913050
84913051,84913050
84913055,8070000287
84913055,84913056
84913055,8070005032
84913056,8061229205
84913056,84913055
84913056,8061229204
84921139,9238147026
84921139,8045866350
84921146,5626051066
84921146,84877026
84921146,3980487890
84921146,4593699479
84921148,583406690
84921148,4713794614
84921148,3980487890
84923224,4339668148
84929723,2934330244
84932375,84932384
84932375,1637297255
84932375,2977630828
84932375,6491019532
84932384,84932375
84932384,4340348358
84932384,10138910763
84932384,1637297255
84942165,4249725598
84942165,4249725599
84942165,3881267872
84942176,8075343400
84942176,84748055
84942176,1280389704
582413724,582413727
582413727,582413736
582413727,582413751
582413727,582413724
582413736,582413727
582413744,4339659044
582413744,1329906230
582413744,582413753
582413751,582413753
582413751,8054050416
582413751,582413727
582413753,8054050422
582413753,582413751
582413753,582413744
582413757,4741925727
582417508,1637898139
582417508,582417523
582417508,84729194
582417523,582417508
582417523,1637898139
582417523,1637898139
582417523,84729194
582417523,6135155472
582711198,582711202
582711198,10082929251
582711198,2814246592
582711198,9730039691
582711198,2814246588
582711198,2814246593
582711202,1637280190
582711202,2815551731
582711202,582711198
582711205,8064287502
582711205,2815551731
582711205,8064287491
582711205,12146816674
583406690,4593699424
583406690,11285146742
583406690,84921148
583406698,9725565956
583406698,8015039890
583406698,4432821189
583406698,8015039887
610102050,4713794601
610102050,4713794602
610102050,8045866317
610102052,9725565987
610102052,8045866324
610102052,4741818632
610104180,3903818013
1021352993,8067594613
1021352993,8067594614
1021352993,10082349131
1277919001,6097330132
1277919001,3600808085
1277919001,6126831146
1277919001,7120553054
1280386255,3980487882
1280386255,2816068710
1280386255,4713794599
1280386256,84877024
1280389704,8034451795
1280389704,3903817959
1280389704,84942176
1329906222,4338442444
1329906222,8025626366
1329906222,8025639518
1329906226,4272413052
1329906230,582413744
1329906246,2838529029
1329906246,3980487887
1329906246,1329906248
1329906248,10000759472
1329906248,10000759472
1329906248,84752961
1329906248,1329906246
1329906250,7996007984
